i,j,artificialReefs,awoisWrecks,awoisObstructions,wrecksEnc,elevations,waveHeights,viirsA,smallBoatTraffic,aisTrafficDensity
12,98,nan,nan,nan,3.0,-2.0,3.99,-3.0,0.0,2.2013971243204513
12,99,nan,nan,nan,2.0,-2.0,3.99,-3.0,0.0,3.0569048513364727
12,100,nan,nan,nan,3.0,-2.0,3.99,-3.0,-0.6077411015677876,1.7634279935629373
12,104,1322.0,nan,1.0,nan,-2.0,3.99,-3.0,-2.3500986723725594,1.9637878273455553
12,108,97.0,nan,nan,nan,-14.0,3.99,-3.0,-0.7460222989178548,2.6334684555795866
13,84,nan,nan,nan,3.0,5.0,3.68,-3.0,0.0,nan
13,104,nan,1.0,1.0,1.0,-2.0,3.95,-3.0,-2.5356561151869483,2.786041210242554
13,105,nan,nan,3.0,nan,1.0,3.95,-3.0,-2.2419596275533658,1.6720978579357175
13,110,236.0,nan,nan,nan,-25.0,4.23,-3.0,0.25,2.69284691927723
13,111,617.0,nan,nan,1.0,-20.0,4.43,-3.0,0.7477397418934033,2.103803720955957
13,113,nan,1.0,nan,nan,-24.0,4.83,0.038898232488164354,1.3255540719444348,2.2329961103921536
14,83,nan,nan,nan,2.0,13.0,nan,-3.0,nan,nan
14,106,nan,nan,nan,1.0,2.0,3.9,0.24714069093745064,-1.7478372640327946,3.5165353738957994
14,107,nan,4.0,nan,2.0,-2.0,3.89,0.22127076639246882,-1.2488298818115757,2.7895807121644256
14,120,nan,nan,nan,1.0,-68.0,6.33,-3.0,3.879757223392754,2.611723308007342
15,98,nan,nan,nan,1.0,-3.0,3.86,-3.0,0.0,2.9804578922761
15,106,11590.0,nan,nan,nan,-2.0,3.85,-3.0,-1.7147443347724562,1.7781512503836436
15,107,nan,nan,nan,2.0,-2.0,3.84,-0.06556466574144165,-1.2174563090207278,3.7734938922709707
15,108,nan,nan,nan,4.0,-4.0,3.83,1.0750064777219757,-0.7255922317655457,3.849849195605258
15,121,nan,1.0,nan,nan,-94.0,6.49,-0.21197975269376176,4.277622327913909,2.380211241711606
16,105,7327.0,nan,nan,nan,-2.0,3.8,0.16462642754851145,-2.1559425879637644,2.5514499979728753
16,109,nan,nan,nan,2.0,-15.0,3.87,-0.15547127698154733,-0.4857022603955158,2.747411807886423
16,110,1597.0,nan,nan,nan,-13.0,4.07,-3.0,-0.25,2.8041394323353503
17,109,nan,1.0,nan,1.0,-3.0,3.82,0.6055571493055294,-0.8710523378484019,2.3636119798921444
17,110,1513.0,2.0,nan,nan,-21.0,4.02,0.09061576655169071,-0.7186063571465195,2.6127838567197355
18,101,nan,1.0,nan,nan,2.0,3.73,-3.0,-0.6035533905932737,nan
18,106,6200.0,nan,nan,nan,-3.0,3.69,1.1083654110822538,-1.3479012889178013,2.399673721481038
18,107,nan,nan,nan,1.0,-3.0,3.68,0.7769879660660133,-1.576879040387836,nan
18,110,nan,1.0,nan,nan,-15.0,3.96,0.6061319126779243,-1.1291314170432527,2.5118833609788744
18,113,nan,nan,nan,2.0,-26.0,4.71,0.07543746430106121,0.25,2.7505083948513462
18,121,nan,1.0,nan,1.0,-67.0,6.6,-0.3737910509065193,4.2490488436401,2.45178643552429
19,102,nan,nan,nan,1.0,-2.0,3.67,-3.0,-0.8810764311221279,nan
19,103,nan,nan,nan,1.0,-2.0,3.66,0.3701099967173315,-0.7255922317655457,nan
19,104,nan,nan,nan,1.0,-2.0,3.65,0.5337784329810498,-0.7496150472738022,1.462397997898956
19,105,nan,nan,nan,1.0,-4.0,3.64,0.6587171695893497,-0.7255922317655457,2.161368002234975
19,109,nan,5.0,nan,4.0,-2.0,3.71,0.35170549421645453,-1.6485538079785802,1.4913616938342726
19,122,nan,nan,nan,1.0,-79.0,6.75,0.690099464961967,4.7499916511288385,2.6954816764901977
20,77,nan,nan,nan,7.0,4.0,nan,-3.0,nan,nan
20,86,nan,nan,nan,7.0,-2.0,3.45,-3.0,-1.144233004317364,1.7558748556724915
20,87,nan,nan,nan,1.0,-2.0,3.53,-3.0,-0.7499999999999999,2.7259116322950483
20,89,nan,nan,nan,1.0,-2.0,3.64,-3.0,-0.7499999999999999,2.885926339801431
20,102,38295.0,nan,nan,nan,-4.0,3.62,-3.0,-0.4857022603955158,1.6532125137753437
20,105,nan,nan,nan,4.0,-3.0,3.59,1.36576869085673,-0.25,2.0211892990699383
20,109,nan,1.0,nan,2.0,-2.0,3.66,-3.0,-1.2459909879925914,1.5440680443502757
20,112,nan,nan,nan,1.0,-22.0,4.49,0.8191535503437295,-0.25,2.6954816764901977
20,114,nan,1.0,nan,1.0,-30.0,5.08,1.2067368680582768,0.7499107785611425,2.3710678622717363
21,78,nan,nan,nan,1.0,11.0,nan,-3.0,nan,nan
21,87,227.0,nan,nan,nan,-4.0,3.49,-3.0,-1.2499999999999996,2.8937617620579434
21,89,nan,nan,nan,1.0,5.0,3.6,-3.0,-1.2499999999999996,1.7853298350107671
21,100,nan,nan,nan,1.0,-4.0,3.61,-3.0,-1.2091123971930342,2.6242820958356683
21,101,nan,1.0,nan,1.0,-4.0,3.6,0.11515500355991361,-0.7255922317655457,1.724275869600789
21,103,nan,nan,nan,1.0,-5.0,3.58,0.7208932723867787,0.1767766952966369,1.591064607026499
21,109,nan,1.0,nan,nan,1.0,3.66,0.0831907700970789,-0.7485579806407447,1.8129133566428555
21,114,nan,2.0,nan,nan,-30.0,5.12,0.4729716389558214,0.7496150472738022,2.404833716619938
21,118,nan,nan,nan,1.0,-39.0,6.28,0.20944262495087718,2.7457385374413716,3.0056094453602804
22,79,nan,nan,nan,2.0,10.0,2.88,-3.0,0.0,nan
22,82,3259.0,nan,nan,nan,-4.0,3.11,-3.0,0.0,0.8450980400142568
22,83,nan,nan,nan,1.0,14.0,3.18,-3.0,0.0,nan
22,85,nan,nan,nan,1.0,6.0,3.33,-3.0,-1.4072579978953321,nan
22,87,nan,nan,nan,1.0,-3.0,3.49,-3.0,-1.7328323476529701,2.9237619608287004
22,97,nan,nan,nan,1.0,6.0,3.63,-3.0,-1.3867380178537838,nan
22,100,89053.0,nan,nan,nan,-4.0,3.82,-3.0,-1.14935524958672,2.1072099696478683
22,101,nan,nan,nan,1.0,-5.0,3.81,0.27299388932287333,-0.7477397418934033,1.8864907251724818
22,102,nan,1.0,nan,1.0,-5.0,3.8,0.5818234033671935,-0.25,1.6127838567197355
22,107,nan,1.0,nan,nan,-4.0,3.75,0.5460822057780328,-0.25,nan
22,109,nan,1.0,nan,1.0,-4.0,3.82,-3.0,-0.25,2.0681858617461617
22,115,nan,2.0,nan,1.0,-30.0,5.49,-3.0,1.2174563090207278,2.8825245379548803
23,79,nan,nan,nan,4.0,11.0,2.88,-3.0,0.0,nan
23,82,nan,nan,nan,1.0,5.0,3.11,-3.0,0.0,0.0
23,87,nan,nan,nan,2.0,2.0,3.5,-3.0,-2.208316515540538,2.962369335670021
23,90,nan,nan,nan,2.0,-2.0,3.66,-3.0,-1.7147443347724562,nan
23,91,22539.0,nan,nan,nan,-2.0,3.66,-3.0,-1.7478372640327946,nan
23,112,nan,3.0,nan,1.0,-24.0,4.69,0.04422215971008047,0.25,2.661812685537261
23,116,nan,1.0,nan,1.0,-27.0,5.86,0.00042106406413558987,1.8150037648091981,2.5024271199844326
24,84,nan,nan,nan,2.0,8.0,3.26,-3.0,-1.4002031456753001,nan
24,85,nan,nan,nan,2.0,5.0,3.33,-3.0,-1.86107395061148,nan
24,86,nan,nan,nan,1.0,7.0,3.43,-3.0,-2.2883307001071302,3.119585774961784
24,90,nan,nan,nan,1.0,-5.0,3.69,0.4439354234286477,-1.2174563090207278,1.4913616938342726
24,104,nan,1.0,nan,1.0,-5.0,4.2,0.5472083907291896,0.7255922317655457,1.8325089127062364
24,109,nan,nan,nan,1.0,-10.0,4.24,0.38196065640259036,0.7499999998687038,2.296665190261531
24,117,nan,1.0,nan,nan,-32.0,6.23,-3.0,2.440956799357691,2.808210972924222
25,83,nan,nan,nan,1.0,6.0,nan,0.31517657046502606,nan,nan
25,86,nan,nan,nan,3.0,1.0,3.46,-3.0,-2.034950527178662,3.273464272621346
25,87,nan,nan,nan,5.0,3.0,3.56,-3.0,-1.608150240102541,nan
25,91,nan,nan,nan,1.0,-3.0,3.72,-3.0,-0.7496150472738022,1.7781512503836436
25,94,nan,nan,nan,1.0,-3.0,3.72,-3.0,-0.7323075662586829,1.863322860120456
25,95,9650.0,nan,nan,nan,-2.0,3.7,-3.0,-0.5313653360279069,1.2304489213782739
25,106,7995.0,nan,nan,nan,-2.0,4.39,-3.0,1.2174563090207278,nan
25,109,nan,1.0,nan,nan,-14.0,4.44,-3.0,0.0,2.7634279935629373
26,87,nan,nan,nan,1.0,-2.0,3.59,0.2675659452449059,-1.374506374956062,3.3546845539547285
26,88,673.0,nan,nan,nan,5.0,3.7,-3.0,-0.9253698406282815,nan
26,93,nan,nan,nan,2.0,-4.0,3.75,0.6018416918737878,-0.25,1.6020599913279623
26,94,nan,nan,nan,1.0,-3.0,3.73,-3.0,-0.25,3.021602716028242
26,96,nan,nan,nan,1.0,-4.0,3.67,-3.0,0.1767766952966369,2.4742162640762553
26,99,nan,nan,nan,1.0,-7.0,3.7,0.6424111562536863,0.7323075662586829,1.3617278360175928
26,103,nan,nan,nan,1.0,-3.0,4.5,0.7134611476558261,0.8810764311221279,3.999522013128904
26,104,nan,nan,nan,1.0,-2.0,4.61,0.6345024409228682,1.168606757969838,3.3712526291249394
26,106,nan,1.0,nan,nan,2.0,4.59,0.5805657598343719,1.7131388085109502,nan
26,110,nan,1.0,nan,nan,-19.0,4.81,-3.0,1.7495589158326679,2.586587304671755
26,112,nan,1.0,nan,nan,-18.0,5.14,-3.0,1.7147443347724562,2.6138418218760693
26,114,nan,1.0,nan,1.0,-30.0,5.51,0.09699337853304982,1.9817673782926504,2.5211380837040362
26,115,nan,2.0,nan,nan,-45.0,5.8,0.3964992313442088,2.2301205391872654,2.920123326290724
27,87,nan,nan,nan,1.0,-4.0,3.62,-3.0,-1.2174563090207278,3.3656751404559175
27,89,nan,nan,nan,1.0,-4.0,3.78,0.7622995930931029,-0.25,nan
27,90,nan,nan,nan,2.0,-5.0,3.78,0.48488041032748064,0.1767766952966369,nan
27,97,nan,nan,nan,3.0,-3.0,3.64,0.0876288163979953,0.7094326870258727,3.210853365314893
27,99,45658.0,nan,nan,nan,-5.0,3.7,0.788701780734801,1.1818565138855257,1.2304489213782739
27,103,nan,1.0,nan,3.0,2.0,4.5,0.45741102274914974,1.336599470857211,3.974649834438722
27,104,nan,nan,1.0,nan,-4.0,4.69,-3.0,1.5493518657814456,4.086786795626624
27,106,nan,1.0,nan,2.0,-14.0,4.8,-3.0,2.157770034750112,nan
27,108,nan,nan,nan,1.0,-9.0,4.78,0.6096829523438693,0.0,nan
27,111,nan,3.0,nan,1.0,-21.0,5.18,0.5730051100844472,2.246782162384364,2.9185545305502734
27,112,nan,2.0,nan,1.0,-22.0,5.35,0.2502686960290338,2.2138403433563645,2.8344207036815328
27,113,nan,1.0,nan,nan,-20.0,5.51,-3.0,2.3025205217575695,2.7101173651118162
27,120,nan,1.0,nan,nan,-1818.0,7.08,-3.0,4.432596874706555,2.444044795918076
28,77,nan,nan,nan,1.0,4.0,nan,-3.0,nan,nan
28,78,nan,nan,nan,5.0,4.0,nan,-3.0,nan,nan
28,83,nan,nan,nan,1.0,5.0,nan,-3.0,nan,1.255272505103306
28,84,nan,nan,nan,1.0,4.0,nan,-3.0,nan,1.5797835966168101
28,90,nan,nan,nan,2.0,-6.0,3.81,0.5307937203474409,-0.25,2.1367205671564067
28,91,nan,nan,nan,1.0,-7.0,3.81,0.5141092564316118,-0.25,2.294466226161593
28,93,nan,nan,nan,2.0,-5.0,3.76,-0.156120175580864,-0.25,2.5599066250361124
28,94,nan,nan,nan,1.0,-5.0,3.73,-3.0,-0.25,2.7489628612561616
28,95,nan,nan,nan,1.0,-4.0,3.7,0.34481655689068375,-0.1767766952966369,3.123524980942732
28,96,nan,nan,nan,2.0,-3.0,3.67,0.8764450643474867,0.25,2.287801729930226
28,98,nan,nan,nan,2.0,-2.0,3.61,0.7342067511257239,1.1063761409207749,3.5972562829251418
28,105,1874.0,nan,nan,nan,-18.0,4.89,-3.0,2.2397743838297197,2.3010299956639813
28,107,nan,1.0,nan,nan,-18.0,5.0,-3.0,2.9885724287798205,1.6532125137753437
28,108,nan,1.0,nan,nan,-14.0,4.99,0.6873795840154218,3.467638932525661,1.724275869600789
28,109,nan,1.0,nan,nan,-9.0,5.07,0.37058523837616303,3.083764830130054,1.5563025007672873
28,110,nan,1.0,nan,nan,-7.0,5.23,0.17108863271211297,2.7492582569578854,2.361727836017593
28,111,nan,3.0,nan,nan,-16.0,5.39,0.43400491365912314,2.7457385374413716,3.1072099696478683
28,112,nan,1.0,nan,1.0,-19.0,5.55,-3.0,2.713539012884334,2.6464037262230695
28,119,nan,2.0,nan,nan,-1701.0,7.04,0.27824129625315525,4.311218898933958,2.7596678446896306
29,77,nan,nan,nan,2.0,8.0,nan,-3.0,nan,0.7781512503836436
29,78,29225.0,nan,nan,14.0,2.0,2.84,-3.0,0.0,2.484299839346786
29,86,nan,nan,nan,6.0,2.0,3.57,-1.1252870252510272,-2.034950527178662,2.247973266361807
29,87,nan,nan,nan,1.0,-3.0,3.68,0.07883295741082236,-1.608150240102541,2.6384892569546374
29,88,nan,nan,nan,3.0,-5.0,3.78,-3.0,-1.2276646373113758,3.4029488293444046
